Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	21	1	7670	12	30	2000	2630	0.0	7831.12	8123.77	93	77.8	2011.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	648.6
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	22	1	8036	12	31	2001	2645	0.0	1366.28	1420.83	98	75.7	2097.1	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	679.5
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	23	1	8401	12	31	2002	2649	0.0	9918.58	10144.98	103	42.2	2359.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	602.1
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	24	1	8766	12	31	2003	2648	0.1	8083.31	8464.47	106	86.2	1689.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	653.2
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	25	1	9131	12	30	2004	2658	0.0	8379.53	9045.39	110	83.7	1992.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	393.0
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	26	1	9497	12	31	2005	2642	1.5	9825.58	10151.13	107	170.5	1535.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	368.4
OliveGIS	30set19	17:41:10	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	27	1	9862	12	31	2006	2635	0.1	8128.35	8465.22	110	111.6	1707.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	640.5
OliveGIS	30set19	17:41:11	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	28	1	10227	12	31	2007	2644	0.2	8313.44	8632.20	108	82.0	2268.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	398.8
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	29	1	10592	12	30	2008	2649	0.0	8546.76	9008.47	93	64.9	2124.1	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	515.9
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	30	1	10958	12	31	2009	2642	0.5	9120.45	9502.84	97	74.9	1665.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	581.2
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	31	1	11323	12	31	2010	2646	0.1	8850.67	9693.84	112	83.7	1937.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	851.6
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	1	365	12	30	1980	2634	0.0	5105.29	5177.71	104	108.1	2166.1	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	448.3
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	2	1	731	12	31	1981	2631	0.0	7463.06	7764.50	101	91.1	1906.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	309.3
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	3	1	1096	12	31	1982	2656	0.0	9209.54	9375.72	101	71.9	2060.9	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	404.8
