Soil water conditions for each weather station location.
Station	SoilWater	SoilWaterMax	PermanentWiltingPoint
agmerra_1407_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_202_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_203_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_204_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_206_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_207_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_209_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_210_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_211_PRT.txt	219.24	4384.90	2037.00
agmerra_1407_212_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_186_ESP.txt	219.24	4384.90	2037.00
agmerra_1408_187_ESP.txt	216.01	4384.90	2037.00
agmerra_1408_188_ESP.txt	216.32	4384.90	2037.00
agmerra_1408_189_ESP.txt	215.69	4384.90	2037.00
agmerra_1408_190_ESP.txt	215.76	4384.90	2037.00
agmerra_1408_191_ESP.txt	217.38	4384.90	2037.00
agmerra_1408_192_ESP.txt	217.81	4384.90	2037.00
agmerra_1408_193_ESP.txt	219.12	4384.90	2037.00
agmerra_1408_194_PRT.txt	219.12	4384.90	2037.00
agmerra_1408_195_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_196_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_202_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_203_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_204_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_206_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_207_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_209_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_210_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_211_PRT.txt	219.24	4384.90	2037.00
agmerra_1408_212_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_186_ESP.txt	219.24	4384.90	2037.00
agmerra_1409_187_ESP.txt	216.36	4384.90	2037.00
agmerra_1409_188_ESP.txt	216.62	4384.90	2037.00
agmerra_1409_189_ESP.txt	215.76	4384.90	2037.00
agmerra_1409_190_ESP.txt	215.83	4384.90	2037.00
agmerra_1409_191_ESP.txt	217.07	4384.90	2037.00
agmerra_1409_192_ESP.txt	217.41	4384.90	2037.00
agmerra_1409_193_ESP.txt	219.11	4384.90	2037.00
agmerra_1409_194_PRT.txt	219.11	4384.90	2037.00
agmerra_1409_195_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_196_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_202_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_203_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_204_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_206_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_207_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_209_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_210_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_211_PRT.txt	219.24	4384.90	2037.00
agmerra_1409_212_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_186_ESP.txt	219.24	4384.90	2037.00
agmerra_1410_187_ESP.txt	216.67	4384.90	2037.00
agmerra_1410_188_ESP.txt	216.79	4384.90	2037.00
agmerra_1410_189_ESP.txt	215.86	4384.90	2037.00
agmerra_1410_190_ESP.txt	215.90	4384.90	2037.00
agmerra_1410_191_ESP.txt	217.00	4384.90	2037.00
agmerra_1410_192_ESP.txt	217.39	4384.90	2037.00
agmerra_1410_193_ESP.txt	218.90	4384.90	2037.00
agmerra_1410_194_PRT.txt	219.00	4384.90	2037.00
agmerra_1410_195_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_196_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_202_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_203_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_204_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_206_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_207_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_209_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_210_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_211_PRT.txt	219.24	4384.90	2037.00
agmerra_1410_212_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_187_ESP.txt	217.92	4384.90	2037.00
agmerra_1411_188_ESP.txt	217.98	4384.90	2037.00
agmerra_1411_189_ESP.txt	217.62	4384.90	2037.00
agmerra_1411_190_ESP.txt	217.61	4384.90	2037.00
agmerra_1411_191_ESP.txt	217.47	4384.90	2037.00
agmerra_1411_192_ESP.txt	217.79	4384.90	2037.00
agmerra_1411_193_ESP.txt	217.65	4384.90	2037.00
agmerra_1411_194_PRT.txt	217.72	4384.90	2037.00
agmerra_1411_195_PRT.txt	219.09	4384.90	2037.00
agmerra_1411_196_PRT.txt	219.07	4384.90	2037.00
agmerra_1411_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1411_203_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_204_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_206_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_207_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_209_PRT.txt	219.24	4384.90	2037.00
agmerra_1411_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1411_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_187_ESP.txt	217.97	4384.90	2037.00
agmerra_1412_188_ESP.txt	217.89	4384.90	2037.00
agmerra_1412_189_ESP.txt	217.59	4384.90	2037.00
agmerra_1412_190_ESP.txt	217.54	4384.90	2037.00
agmerra_1412_191_ESP.txt	217.42	4384.90	2037.00
agmerra_1412_192_ESP.txt	217.90	4384.90	2037.00
agmerra_1412_193_PRT.txt	217.84	4384.90	2037.00
agmerra_1412_194_PRT.txt	217.72	4384.90	2037.00
agmerra_1412_195_PRT.txt	218.84	4384.90	2037.00
agmerra_1412_196_PRT.txt	218.74	4384.90	2037.00
agmerra_1412_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_200_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_201_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_203_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_204_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_205_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_206_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_207_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_208_PRT.txt	219.24	4384.90	2037.00
agmerra_1412_209_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1412_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_187_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_188_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_189_ESP.txt	218.62	4384.90	2037.00
agmerra_1413_190_ESP.txt	218.25	4384.90	2037.00
agmerra_1413_191_ESP.txt	216.71	4384.90	2037.00
agmerra_1413_192_ESP.txt	217.12	4384.90	2037.00
agmerra_1413_193_PRT.txt	216.53	4384.90	2037.00
agmerra_1413_194_PRT.txt	216.31	4384.90	2037.00
agmerra_1413_195_PRT.txt	218.24	4384.90	2037.00
agmerra_1413_196_PRT.txt	218.28	4384.90	2037.00
agmerra_1413_197_PRT.txt	219.24	4384.90	2037.00
agmerra_1413_198_PRT.txt	219.24	4384.90	2037.00
agmerra_1413_199_PRT.txt	219.24	4384.90	2037.00
agmerra_1413_200_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_201_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_203_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_204_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_205_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_206_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_207_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_208_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_209_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1413_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_187_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_188_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_189_ESP.txt	218.61	4384.90	2037.00
agmerra_1414_190_ESP.txt	217.99	4384.90	2037.00
agmerra_1414_191_ESP.txt	216.92	4384.90	2037.00
agmerra_1414_192_ESP.txt	217.19	4384.90	2037.00
agmerra_1414_193_PRT.txt	216.53	4384.90	2037.00
agmerra_1414_194_PRT.txt	216.28	4384.90	2037.00
agmerra_1414_195_PRT.txt	218.09	4384.90	2037.00
agmerra_1414_196_ESP.txt	217.95	4384.90	2037.00
agmerra_1414_197_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_198_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_199_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_200_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_201_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_203_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_204_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_205_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_206_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_207_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_208_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_209_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1414_212_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_187_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_188_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_189_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_190_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_191_ESP.txt	216.44	4384.90	2037.00
agmerra_1415_192_ESP.txt	216.77	4384.90	2037.00
agmerra_1415_193_ESP.txt	216.28	4384.90	2037.00
agmerra_1415_194_PRT.txt	216.19	4384.90	2037.00
agmerra_1415_195_ESP.txt	218.79	4384.90	2037.00
agmerra_1415_196_ESP.txt	218.86	4384.90	2037.00
agmerra_1415_197_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_198_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_199_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_200_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_201_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_203_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_204_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_205_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_206_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_207_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_208_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_209_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_212_ESP.txt	219.24	4384.90	2037.00
agmerra_1415_213_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_187_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_188_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_189_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_190_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_191_ESP.txt	216.44	4384.90	2037.00
agmerra_1416_192_ESP.txt	216.60	4384.90	2037.00
agmerra_1416_193_ESP.txt	216.00	4384.90	2037.00
agmerra_1416_194_ESP.txt	216.08	4384.90	2037.00
agmerra_1416_195_ESP.txt	218.46	4384.90	2037.00
agmerra_1416_196_ESP.txt	218.55	4384.90	2037.00
agmerra_1416_197_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_198_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_199_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_200_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_201_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_202_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_203_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_204_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_205_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_206_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_207_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_208_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_209_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_210_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_211_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_212_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_213_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_214_ESP.txt	219.24	4384.90	2037.00
agmerra_1416_215_ESP.txt	219.24	4384.90	2037.00
agmerra_1417_187_ESP.txt	219.24	4384.90	2037.00
agmerra_1417_188_ESP.txt	219.24	4384.90	2037.00
agmerra_1417_189_ESP.txt	219.24	4384.90	2037.00
agmerra_1417_190_ESP.txt	219.24	4384.90	2037.00
agmerra_1417_191_ESP.txt	215.82	4384.90	2037.00
agmerra_1417_192_ESP.txt	215.71	4384.90	2037.00
