Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:36-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	10592	12	31	1999	2353.6	3.4	6519.6	6717.6	   144.0	     1.0	282.0	3026.7	498.6	0.000	0.0	0.0	30035.89	195802.63	241429.025	43227.66	6183.24	4586.21	67.18
OliveGIS	08Feb21	4:06:43-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	10592	12	31	1999	2597.7	2.7	7261.5	8153.3	   132.0	     1.0	161.1	2356.7	422.1	0.000	0.0	0.0	19142.88	101287.69	38740.187	13360.15	3720.09	4704.04	55.56
OliveGIS	08Feb21	4:06:49-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.8500	1	10592	12	31	1999	2132.1	8.2	6302.9	6702.5	   154.0	     1.0	383.0	3191.6	312.3	0.000	0.0	0.0	28458.66	188594.12	313904.237	41896.35	5838.54	4555.34	65.63
OliveGIS	08Feb21	4:06:56-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.2500	1	10592	12	31	1999	2636.5	0.0	6861.6	7472.0	   113.0	     1.0	97.1	2254.9	521.3	0.000	0.0	0.0	17789.01	87445.95	32046.334	8508.10	3693.66	4864.47	62.28
OliveGIS	08Feb21	4:07:01-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.7500	1	10592	12	31	1999	1990.6	20.7	505.8	566.9	   165.0	     1.0	480.5	3238.4	353.7	0.000	0.0	0.0	3090.76	20725.98	64094.191	11322.70	592.11	447.95	68.09
OliveGIS	08Feb21	4:07:08-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	10592	12	31	1999	2643.4	0.0	6870.3	6891.4	   108.0	     1.0	16.2	2703.2	469.4	0.000	0.0	0.0	38587.20	205952.43	133130.934	76950.27	10548.33	6439.50	87.35
OliveGIS	08Feb21	4:07:14-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	10592	12	31	1999	2620.0	0.0	7677.7	7840.7	   116.0	     1.0	77.8	2905.1	515.0	0.000	0.0	0.0	45207.74	266101.77	191984.339	83006.30	10690.28	6698.82	81.89
OliveGIS	08Feb21	4:07:21-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	10592	12	31	1999	2594.2	4.1	7044.8	7753.9	   138.0	     1.0	205.9	2530.4	429.3	0.000	0.0	0.0	30011.55	190705.87	114808.059	39010.21	6869.38	5627.65	69.65
OliveGIS	08Feb21	4:07:27-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	10592	12	31	1999	2653.3	0.0	7326.5	7564.7	   105.0	     1.0	42.7	2537.6	475.8	0.000	0.0	0.0	36984.00	199681.12	122965.232	47744.33	10165.40	6667.93	84.07
OliveGIS	08Feb21	4:07:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	10592	12	31	1999	2623.9	0.0	6572.0	6761.3	   132.0	     1.0	131.9	2856.5	257.7	0.000	0.0	0.0	36641.85	212210.88	200762.020	73837.95	8745.79	5955.37	82.55
