Soil water conditions for each California weather station location.
Station	SoilWater	SoilwaterMax
FREMONT.A	1636.19	1800.00
PLYMOUTH.A	1678.89	1800.00
VICTRVIL.A	1019.20	1800.00
SNTACRUZ.A	1797.91	1800.00
CASTROVL.A	1747.65	1800.00
FREMONT.A	1635.89	1800.00
KINGCTY2.A	1670.98	1800.00
DAVIS.A	1591.15	1800.00
