cat	featurecla	scalerank	adm1_code	diss_me	iso_3166_2	wikipedia	iso_a2	adm0_sr	name	name_alt	name_local	type	type_en	code_local	code_hasc	note	hasc_maybe	region	region_cod	provnum_ne	gadm_level	check_me	datarank	abbrev	postal	area_sqkm	sameascity	labelrank	name_len	mapcolor9	mapcolor13	fips	fips_alt	woe_id	woe_label	woe_name	latitude	longitude	sov_a3	adm0_a3	adm0_label	admin	geonunit	gu_a3	gn_id	gn_name	gns_id	gns_name	gn_level	gn_region	gn_a1_code	region_sub	sub_code	gns_level	gns_lang	gns_adm1	gns_region	min_label	max_label	min_zoom	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	ne_id
1290	Admin-1 scale rank	3	ESP-5812	5812	ES-CA		ES	1	Cádiz			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	5	5	5	SP80	SP51	12602096	Andalusia, ES, Spain	Andalucía	36.4828	-5.82488	ESP	ESP	2	Spain			2520597	Provincia de Cadiz	-374887	Cadiz, Provincia de	2		ES.CA			2			SP51	7.7	11.0	7.7	Q81978	قادس	কাদিস প্রদেশ	Provinz Cádiz	Cádiz Province	provincia de Cádiz	province de Cadix	Επαρχία Κάδιθ	कैडीज़ प्रांत	Cádiz	Provinsi Cádiz	Provincia di Cadice	カディス県	카디스 주	Cádiz	Kadyks	Cádis	Кадис	Cádiz	Cádiz ili	Cádiz	加的斯省	1159317821
1688	Admin-1 scale rank	3	ESP-5824	5824	ES-H		ES	1	Huelva			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	6	5	5	SP80	SP51	12602100	Andalusia, ES, Spain	Andalucía	37.6217	-6.90248	ESP	ESP	2	Spain			2516547	Provincia de Huelva	-385564	Huelva, Provincia de	2		ES.H			2			SP51	7.7	11.0	7.7	Q95015	ولبة	হুল্ভা প্রদেশ	Provinz Huelva	Huelva Province	Provincia de Huelva	province de Huelva	Επαρχία της Ουέλβα	हुएल्वा प्रांत	Huelva tartomány	Provinsi Huelva	Provincia di Huelva	ウエルバ県	우엘바 주	Huelva	Huelva	Província de Huelva	Уэльва	Huelva	Huelva ili	Huelva	韋爾瓦省	1159317817
2503	Admin-1 scale rank	3	ESP-5804	5804	ES-AL		ES	1	Almería			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	7	5	5	SP80	SP51	12602095	Andalusia, ES, Spain	Andalucía	37.1563	-2.22473	ESP	ESP	2	Spain			2521883	Provincia de Almeria	-370377	Almeria, Provincia de	2		ES.AL			2			SP51	7.7	11.0	7.7	Q81802	المرية	আল্মেরিয়া প্রদেশ	Provinz Almería	Almería Province	Provincia de Almería	province d'Almería	Αλμερία	आल्मेरिया प्रान्त	Almería	Provinsi Almería	Provincia di Almería	アルメリア県	알메리아 주	Almería	Almería	Almeria	Альмерия	Almería	Almería ili	Almería	阿爾梅里亞省	1159317829
2504	Admin-1 scale rank	3	ESP-5821	5821	ES-GR		ES	1	Granada			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	7	5	5	SP80	SP51	12602099	Andalusia, ES, Spain	Andalucía	37.2665	-3.2411	ESP	ESP	2	Spain			2517115	Provincia de Granada	-384330	Granada	2		ES.GR			2			SP51	7.7	11.0	7.7	Q82142	غرناطة	গ্রানাডা প্রদেশ	Provinz Granada	Granada Province	Provincia de Granada	province de Grenade	Γρανάδα	ग्रानादा प्रान्त	Granada	Provinsi Granada	Provincia di Granada	グラナダ県	그라나다 주	Granada	Grenada	Granada	Гранада	Granada	Granada ili	Granada	格拉納達省	1159317827
2505	Admin-1 scale rank	3	ESP-5834	5834	ES-MA		ES	1	Málaga			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	6	5	5	SP80	SP51	12602102	Andalusia, ES, Spain	Andalucía	36.838	-4.68606	ESP	ESP	2	Spain			2514254	Provincia de Malaga	-390789	Malaga, Provincia de	2		ES.MA			2			SP51	7.7	11.0	7.7	Q95028	مالقة		Málaga	Málaga Province	provincia de Málaga	province de Málaga	Μάλαγα		Málaga	Provinsi Málaga	Provincia di Malaga	マラガ県	말라가 주	Málaga	Malaga	Málaga	Малага	Málaga	Málaga ili	Málaga	馬拉加省	1159317823
2506	Admin-1 scale rank	3	ESP-5844	5844	ES-SE		ES	1	Sevilla			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	7	5	5	SP80	SP51	12602104	Andalusia, ES, Spain	Andalucía	37.438	-5.73917	ESP	ESP	2	Spain			2510910	Provincia de Sevilla	-402850	Seville	2		ES.SE			2			SP51	7.7	11.0	7.7	Q95088	إشبيلية	সেভিলি প্রদেশ	Sevilla	Seville Province	provincia de Sevilla	province de Séville	Σεβίλλη	सेविल प्रांत	Sevilla	Provinsi Sevilla	Provincia di Siviglia	セビリア県	세비야 주	Sevilla	Sewilla	Província de Sevilha	Севилья	Sevilla	Sevilla ili	Sevilla	塞維利亞省	1159317815
4539	Admin-1 scale rank	3	ESP-5817	5817	ES-CO		ES	1	Córdoba			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	7	5	5	SP80	SP51	12602098	Andalusia, ES, Spain	Andalucía	37.9699	-4.74788	ESP	ESP	2	Spain			2519239	Province of Cordoba	-378767	Cordoba, Provincia de	2		ES.CO			2			SP51	7.7	11.0	7.7	Q81972	مقاطعة قرطبة	কর্ডোবা প্রদেশ	Córdoba	Córdoba Province	Provincia de Córdoba	Cordoue	Κόρδοβα	कोर्डोबा प्रांत	Córdoba	Provinsi Córdoba	Provincia di Cordova	コルドバ県	코르도바 주	Córdoba	Kordoba	Córdova	Кордова	Córdoba	Córdoba ili	Córdoba	科爾多瓦省	1159308491
4541	Admin-1 scale rank	3	ESP-5826	5826	ES-J		ES	1	Jaén			Comunidad Autónoma	Autonomous Community		ES.AN			Andalucía	ES.AN	8	1	20	3		AN	0	-99	3	4	5	5	SP80	SP51	12602101	Andalusia, ES, Spain	Andalucía	37.9829	-3.43703	ESP	ESP	2	Spain			2516394	Provincia de Jaen	-386069	Jaen, Provincia de	2		ES.J			2			SP51	7.7	11.0	7.7	Q95025	خاين	জিয়ান প্রদেশ	Jaén	Jaén Province	provincia de Jaén	province de Jaén	Χαέν	जैएन प्रांत	Jaén	Provinsi Jaén	Provincia di Jaén	ハエン県	하엔 주	Jaén	Jaén	Jaén	Хаэн	Jaén	Jaén ili	Jaén	哈恩省	1159317825
