cat	featurecla	scalerank	adm1_code	diss_me	iso_3166_2	wikipedia	iso_a2	adm0_sr	name	name_alt	name_local	type	type_en	code_local	code_hasc	note	hasc_maybe	region	region_cod	provnum_ne	gadm_level	check_me	datarank	abbrev	postal	area_sqkm	sameascity	labelrank	name_len	mapcolor9	mapcolor13	fips	fips_alt	woe_id	woe_label	woe_name	latitude	longitude	sov_a3	adm0_a3	adm0_label	admin	geonunit	gu_a3	gn_id	gn_name	gns_id	gns_name	gn_level	gn_region	gn_a1_code	region_sub	sub_code	gns_level	gns_lang	gns_adm1	gns_region	min_label	max_label	min_zoom	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	ne_id
3776	Admin-1 scale rank	5	COL-1423	1423	CO-GUV		CO	1	Guaviare			Comisaría	Commissiary		CO.GV					32	1	0	5		GV	0	6	6	8	3	1	CO14		2345059	Guavaire, CO, Colombia	Guaviare	1.85144	-71.8348	COL	COL	2	Colombia	Colombia	COL	3681344	Departamento del Guaviare	-585887	Guaviare, Departamento del	1		CO.14			1	por	CO14		6.7	11.0	6.7	Q272885	إدارة غوافياري	গোয়াভিরে বিভাগ	Guaviare	Guaviare Department	Guaviare	Guaviare	Γκουαβιάρε	ग्वाविआरे विभाग	Guaviare megye	Departemen Guaviare	dipartimento di Guaviare	グアビアーレ県	과비아레 주	Guaviare	Guaviare	Guaviare	Гуавьяре	Guaviare	Guaviare	Khu vực hành chính Guaviare	瓜维亚雷省	1159310165
3777	Admin-1 scale rank	5	COL-1397	1397	CO-CAL		CO	1	Caldas			Departamento	Department		CO.CL					25	1	0	5		CL	0	-99	5	6	3	1	CO37		2345053	Caldas, CO, Colombia	Caldas	5.29037	-75.2793	COL	COL	2	Colombia	Colombia	COL	3687951	Departamento de Caldas	-579222	Caldas, Departamento de	1		CO.37			1	por	CO37		6.7	11.0	6.7	Q230607	إدارة كالداس	কালডাস বিভাগ	Departamento de Caldas	Caldas Department	Caldas	Caldas	Διαμέρισμα Κάλδα	कैलडस विभाग	Caldas megye	Departemen Caldas	dipartimento di Caldas	カルダス県	칼다스 주	Caldas	Caldas	Caldas	Кальдас	Caldas	Caldas	Caldas	卡尔达斯省	1159310127
3778	Admin-1 scale rank	5	COL-1422	1422	CO-CAS		CO	1	Casanare			Intendencia	Intendancy		CO.CS					24	1	0	5		CS	0	-99	5	8	3	1	CO32		2345077	Casanare, CO, Colombia	Casanare	5.46249	-71.4622	COL	COL	2	Colombia	Colombia	COL	3687173	Departamento de Casanare	-580008	Casanare, Departamento de	1		CO.32			1	por	CO32		6.7	11.0	6.7	Q13984	إدارة كاساناري	কাসানরে  বিভাগ	Departamento de Casanare	Casanare Department	Casanare	Casanare	Κασανάρε	कासनेरे विभाग	Casanare megye	Departemen Casanare	dipartimento di Casanare	カサナレ県	카사나레 주	Casanare	Casanare	Casanare	Касанаре	Casanare	Casanare	Casanare	卡萨纳雷省	1159310163
3779	Admin-1 scale rank	5	COL-1425	1425	CO-MET		CO	1	Meta			Departamento	Department		CO.ME					23	1	0	5		ME	0	-99	5	4	3	1	CO19		2345064	Meta, CO, Colombia	Meta	3.5302	-72.9789	COL	COL	2	Colombia	Colombia	COL	3674810	Departamento del Meta	-592471	Meta, Departamento del	1		CO.19			1	por	CO19		6.7	11.0	6.7	Q238629	إدارة ميتا	মেটা	Meta	Meta	Meta	Meta	Μέτα	मेटा	Meta megye	Departemen Meta	dipartimento di Meta	メタ県	메타 주	Meta	Meta	Meta	Ме́та	Meta	Meta	Meta	梅塔省	1159310171
3780	Admin-1 scale rank	5	COL-1399	1399	CO-CUN		CO	1	Bogota	Bogota Capital District		Distrito Federal	Federal District		CO.CU					22	1	12	5		CU	0	9	9	6	3	1	CO33	CO33	2345079	Distrito Especial, CO, Colombia	Bogota	4.08564	-74.2443	COL	COL	2	Colombia	Colombia	COL	3688685	Distrito Capital de Bogota	-578476	Bogota, Distrito Capital de	1		CO.34			1	por	CO34		6.7	11.0	6.7	Q2841	بوغوتا	বোগোতা	Bogotá	Bogotá	Bogotá	Bogota	Μπογκοτά	बोगोटा	Bogotá	Bogotá	Bogotá	ボゴタ	보고타	Bogota	Bogota	Bogotá	Богота	Bogotá	Bogotá	Bogotá	波哥大	1159310131
3781	Admin-1 scale rank	5	COL-1317	1317	CO-SAN		CO	1	Santander			Departamento	Department		CO.ST					21	1	0	5		ST	0	-99	5	9	3	1	CO26		2345071	Santander, CO, Colombia	Santander	6.85402	-73.4981	COL	COL	2	Colombia	Colombia	COL	3668578	Departamento de Santander	-598768	Santander, Departamento de	1		CO.26			1	por	CO26		6.7	11.0	6.7	Q235166	سانتاندير	স্যানটানডার বিভাগ	Departamento de Santander	Santander Department	Santander	Santander	Διαμέρισμα Σανταντέρ	संतान्दर विभाग	Santander megye	Departemen Santander	dipartimento di Santander	サンタンデール県	산탄데르 주	Santander	Santander	Santander	Сантандер	Santander	Santander	Khu vực hành chính Santander	桑坦德省	1159310185
3782	Admin-1 scale rank	5	COL-1402	1402	CO-TOL		CO	1	Tolima			Departamento	Department		CO.TO					20	1	0	5		TO	0	-99	5	6	3	1	CO28		2345073	Tolima, CO, Colombia	Tolima	3.93749	-75.2073	COL	COL	2	Colombia	Colombia	COL	3666951	Departamento de Tolima	-600414	Tolima, Departamento de	1		CO.28			1	por	CO28		6.7	11.0	6.7	Q234501	إدارة توليما	টোলিমা  বিভাগ	Tolima	Tolima Department	Tolima	Tolima	Διαμέρισμα Τολίμα	तोलिमा विभाग	Tolima megye	Departemen Tolima	dipartimento di Tolima	トリマ県	톨리마 주	Tolima	Tolima	Tolima	Толима	Tolima	Tolima	Khu vực hành chính Tolima	托利马省	1159310139
3783	Admin-1 scale rank	5	COL-1400	1400	CO-QUI		CO	1	Quindío			Departamento	Department		CO.QD					19	1	0	5		QD	0	-99	5	7	3	1	CO23		2345068	Quindio, CO, Colombia	Quindío	4.47197	-75.64	COL	COL	2	Colombia	Colombia	COL	3671087	Quindio Department	-596235	Quindio, Departamento del	1		CO.23			1	por	CO23		6.7	11.0	6.7	Q13995	إدارة كوينديو	কিনদিও বিভাগ	Departamento del Quindío	Quindío Department	Quindío	Quindío	Κουίντιο	किनडियो विभाग	Quindío megye	Departemen Quindío	dipartimento di Quindío	キンディオ県	킨디오 주	Quindío	Quindío	Quindío	Киндио	Quindío	Quindío	Quindío	金迪奥省	1159310135
3784	Admin-1 scale rank	5	COL-1398	1398	CO-CUN		CO	1	Cundinamarca			Departamento	Department		CO.CU					18	1	12	5		CU	0	-99	5	12	3	1			2345078	Cundinamarca, CO, Colombia	Cundinamarca	5.11121	-74.0613	COL	COL	2	Colombia	Colombia	COL	3685413	Departamento de Cundinamarca	-581789	Cundinamarca, Departamento de	1		CO.33			1	por	CO33		6.7	11.0	6.7	Q232564	إدارة كونديناماركا	কুন্ডিনামাকা বিভাগ	Cundinamarca	Cundinamarca Department	Cundinamarca	Cundinamarca	Διαμέρισμα Κουντιναμάρκα	कुंडीनामार्का विभाग	Cundinamarca megye	Departemen Kundinamarka	dipartimento di Cundinamarca	クンディナマルカ県	쿤디나마르카 주	Cundinamarca	Cundinamarca	Cundinamarca	Кундинамарка	Cundinamarca	Cundinamarca	Cundinamarca	昆迪納馬卡省	1159310129
3785	Admin-1 scale rank	5	COL-1401	1401	CO-RIS		CO	1	Risaralda			Departamento	Department		CO.RI					17	1	0	5		RI	0	-99	5	9	3	1	CO24		2345069	Risaralda, CO, Colombia	Risaralda	4.82682	-75.6743	COL	COL	2	Colombia	Colombia	COL	3670698	Departamento de Risaralda	-596628	Risaralda, Departamento de	1		CO.24			1	por	CO24		6.7	11.0	6.7	Q13993	إدارة ريزارالدا	রিসারালডা বিভাগ	Departamento de Risaralda	Risaralda Department	Risaralda	Risaralda	Ρισαράλντα	रिसाराल्डा विभाग	Risaralda megye	Departemen Risaralda	dipartimento di Risaralda	リサラルダ県	리사랄다 주	Risaralda	Risaralda	Risaralda	Рисаральда	Risaralda	Risaralda	Risaralda	里萨拉尔达省	1159310137
