259890	1411	210	-7.375	37.625	ESP	ES-H
259891	1411	211	-7.375	37.375	ESP	ES-H
260057	1412	209	-7.125	37.875	ESP	ES-H
260058	1412	210	-7.125	37.625	ESP	ES-H
260059	1412	211	-7.125	37.375	ESP	ES-H
260228	1413	208	-6.875	38.125	ESP	ES-H
260229	1413	209	-6.875	37.875	ESP	ES-H
260230	1413	210	-6.875	37.625	ESP	ES-H
260231	1413	211	-6.875	37.375	ESP	ES-H
260401	1414	209	-6.625	37.875	ESP	ES-H
260402	1414	210	-6.625	37.625	ESP	ES-H
260576	1415	210	-6.375	37.625	ESP	ES-SE
260577	1415	211	-6.375	37.375	ESP	ES-H
260578	1415	212	-6.375	37.125	ESP	ES-H
260403	1414	211	-6.625	37.375	ESP	ES-H
260404	1414	212	-6.625	37.125	ESP	ES-H
260575	1415	209	-6.375	37.875	ESP	ES-H
260579	1415	213	-6.375	36.875	ESP	ES-H
260580	1415	214	-6.375	36.625	ESP	ES-CA
260757	1416	209	-6.125	37.875	ESP	ES-SE
260758	1416	210	-6.125	37.625	ESP	ES-SE
260759	1416	211	-6.125	37.375	ESP	ES-SE
260760	1416	212	-6.125	37.125	ESP	ES-SE
260761	1416	213	-6.125	36.875	ESP	ES-SE
260762	1416	214	-6.125	36.625	ESP	ES-CA
260763	1416	215	-6.125	36.375	ESP	ES-CA
260930	1417	208	-5.875	38.125	ESP	ES-SE
260931	1417	209	-5.875	37.875	ESP	ES-SE
260932	1417	210	-5.875	37.625	ESP	ES-SE
260933	1417	211	-5.875	37.375	ESP	ES-SE
260934	1417	212	-5.875	37.125	ESP	ES-SE
260935	1417	213	-5.875	36.875	ESP	ES-CA
260936	1417	214	-5.875	36.625	ESP	ES-CA
260937	1417	215	-5.875	36.375	ESP	ES-CA
261104	1418	208	-5.625	38.125	ESP	ES-SE
261105	1418	209	-5.625	37.875	ESP	ES-SE
261106	1418	210	-5.625	37.625	ESP	ES-SE
261107	1418	211	-5.625	37.375	ESP	ES-SE
261108	1418	212	-5.625	37.125	ESP	ES-SE
261109	1418	213	-5.625	36.875	ESP	ES-CA
261110	1418	214	-5.625	36.625	ESP	ES-CA
261111	1418	215	-5.625	36.375	ESP	ES-CA
261112	1418	216	-5.625	36.125	ESP	ES-CA
261285	1419	207	-5.375	38.375	ESP	ES-CO
261286	1419	208	-5.375	38.125	ESP	ES-CO
261287	1419	209	-5.375	37.875	ESP	ES-CO
261288	1419	210	-5.375	37.625	ESP	ES-CO
261289	1419	211	-5.375	37.375	ESP	ES-SE
261290	1419	212	-5.375	37.125	ESP	ES-SE
261291	1419	213	-5.375	36.875	ESP	ES-CA
261292	1419	214	-5.375	36.625	ESP	ES-MA
261293	1419	215	-5.375	36.375	ESP	ES-CA
261466	1420	206	-5.125	38.625	ESP	ES-CO
261467	1420	207	-5.125	38.375	ESP	ES-CO
261468	1420	208	-5.125	38.125	ESP	ES-CO
261469	1420	209	-5.125	37.875	ESP	ES-CO
261470	1420	210	-5.125	37.625	ESP	ES-SE
261471	1420	211	-5.125	37.375	ESP	ES-SE
261472	1420	212	-5.125	37.125	ESP	ES-SE
261473	1420	213	-5.125	36.875	ESP	ES-CA
261474	1420	214	-5.125	36.625	ESP	ES-MA
261656	1421	206	-4.875	38.625	ESP	ES-CO
261657	1421	207	-4.875	38.375	ESP	ES-CO
261658	1421	208	-4.875	38.125	ESP	ES-CO
261659	1421	209	-4.875	37.875	ESP	ES-CO
261660	1421	210	-4.875	37.625	ESP	ES-CO
261661	1421	211	-4.875	37.375	ESP	ES-SE
261662	1421	212	-4.875	37.125	ESP	ES-MA
261663	1421	213	-4.875	36.875	ESP	ES-MA
261664	1421	214	-4.875	36.625	ESP	ES-MA
261843	1422	207	-4.625	38.375	ESP	ES-CO
261844	1422	208	-4.625	38.125	ESP	ES-CO
261845	1422	209	-4.625	37.875	ESP	ES-CO
261846	1422	210	-4.625	37.625	ESP	ES-CO
261847	1422	211	-4.625	37.375	ESP	ES-CO
261848	1422	212	-4.625	37.125	ESP	ES-MA
261849	1422	213	-4.625	36.875	ESP	ES-MA
261850	1422	214	-4.625	36.625	ESP	ES-MA
262034	1423	208	-4.375	38.125	ESP	ES-CO
262035	1423	209	-4.375	37.875	ESP	ES-CO
262036	1423	210	-4.375	37.625	ESP	ES-CO
262037	1423	211	-4.375	37.375	ESP	ES-CO
262038	1423	212	-4.375	37.125	ESP	ES-MA
262039	1423	213	-4.375	36.875	ESP	ES-MA
262223	1424	207	-4.125	38.375	ESP	ES-J
262224	1424	208	-4.125	38.125	ESP	ES-J
262225	1424	209	-4.125	37.875	ESP	ES-J
262226	1424	210	-4.125	37.625	ESP	ES-J
262227	1424	211	-4.125	37.375	ESP	ES-CO
262228	1424	212	-4.125	37.125	ESP	ES-GR
262229	1424	213	-4.125	36.875	ESP	ES-MA
262415	1425	207	-3.875	38.375	ESP	ES-J
262416	1425	208	-3.875	38.125	ESP	ES-J
262417	1425	209	-3.875	37.875	ESP	ES-J
262418	1425	210	-3.875	37.625	ESP	ES-J
262419	1425	211	-3.875	37.375	ESP	ES-GR
262420	1425	212	-3.875	37.125	ESP	ES-GR
262421	1425	213	-3.875	36.875	ESP	ES-GR
262607	1426	207	-3.625	38.375	ESP	ES-J
262608	1426	208	-3.625	38.125	ESP	ES-J
262609	1426	209	-3.625	37.875	ESP	ES-J
262610	1426	210	-3.625	37.625	ESP	ES-J
262611	1426	211	-3.625	37.375	ESP	ES-GR
262612	1426	212	-3.625	37.125	ESP	ES-GR
